,text,Trump,Biden,West,HOF
551,get ballot today vote BidenHarris Also ballot question legalize marijuana New Jersey question vote yes Vote VoteBlueOnNovember rd,Neither,Favor,Neither,Non-Hateful
552,kaitlancollins McConnell admit live TV pack court block Obama s nominees give empty slot POUTS NEWLINE NEWLINE Who fill ABA unqualified right wing zealots NEWLINE Now that s court pack NEWLINE NEWLINE Biden rebalancing NEWLINE,Neither,Neutral mentions,Neither,Non-Hateful
553,mmpadellan JoeBiden need remind realDonaldTrump try strong arm foreign government dig dirt fear Biden candidacy,Against,Favor,Neither,Non-Hateful
554,clairecmc beautiful Obama Trump KAG MAGA WalkAwayFromDemocratsForever BidenIsAPedo,Favor,Against,Neither,Hateful
555,pre write like Pence story accidentally get publish Every CMS I ve ever use least one prominent warn like SURE MAYBE WANT RETHINK PUBLISHING RIGHT NOW MAYBE ONE LAST PROOFREAD NEVER HURTS CHECK,Neutral mentions,Neither,Neither,Non-Hateful
556,brad dickson Sure like GOP suspend long enough even grief RBG Im sure Biden quarantine trump would cancel hate rally BidenHarris,Neutral mentions,Favor,Neither,Non-Hateful
557,Its look good realDonaldTrump wont stop either Well keep work pm PST Nov rd WIN election fair square Democrats dont cheat win Were work NEWLINE VoteBlueToEndThisNightmare NEWLINE VoteHimOut NEWLINE BidenHarris,Against,Favor,Neither,Non-Hateful
558,NBCNews register independent Voting Trump Trump NEWLINE BidenIsARacist VoteRedToSaveAmerica DemocratsTheEnemyWithin,Favor,Against,Neither,Non-Hateful
559,thehill Tony Bobulinski tell Tucker Joe Biden denials involvement son s business a blatant lie NEWLINE NEWLINE,Neither,Neutral mentions,Neither,Non-Hateful
560,leadership drive science empathy VoteBlueToSaveAmerica BidenHarris,Neither,Favor,Neither,Non-Hateful
561,Check CJ Gainey s video TikTok Trump Biden debate shit show AdamSandler,Neutral mentions,Neutral mentions,Neither,Non-Hateful
562,politvidchannel fucktrump fuckthegop realdonaldtrump trump trumpvirus LindseyGraham NEWLINE NEWLINE AND LOUSY LINDSEY THINKS DANDY BRAND LUNATIC FRINGE NEWLINE NEWLINE A PUNK WHITE POWER STREET GANG COMIN SUBURB NEAR JIM BOGNET NEWLINE NEWLINE BOGNET CONGRESS HELL,Against,Neither,Neither,Hateful
563,DECEPTION HE S PERFECTLY TWISTED MISS INFORMATION GO ANYWHERE Trump,Favor,Neither,Neither,Non-Hateful
564,realDonaldTrump thank to NEWLINE Electoral College NEWLINE NEWLINE win NEWLINE not true NEWLINE NEWLINE you could win NEWLINE with NEWLINE NEWLINE Trump NEWLINE Joe NEWLINE Bernie NEWLINE Colin Powell NEWLINE NEWLINE flip west coast NEWLINE Trump NEWLINE KaMaLa NEWLINE Joe NEWLINE NEWLINE candidates NEWLINE win NEWLINE NEWLINE add candidates NEWLINE you could win NEWLINE with Electoral Votes NEWLINE NEWLINE divide win,Neutral mentions,Neutral mentions,Neither,Non-Hateful
565,Barssssss Biden BidenHarris vote,Neither,Favor,Neither,Non-Hateful
566,Joe Biden want bring ruin United States America establish PURELY muslim kushan empire let delusional pedophile get office TrumpMeltdown Trump JoeBiden Debates,Mixed,Against,Neither,Hateful
567,Trump jonesing drug choice Adulation NEWLINE NEWLINE He can t live without it,Against,Neither,Neither,Non-Hateful
568,He s hospital let s get white house jail cell NEWLINE BidenHarris TeamPetty Joe TeamPetty Dems TeamPetty Kamala,Against,Favor,Neither,Non-Hateful
569,AOC Trump call Biden Joe yesterdays debate Kamala try make point isnt one Useless,Neutral mentions,Neutral mentions,Neither,Non-Hateful
570,Stop try make vote Trump,Neutral mentions,Neither,Neither,Non-Hateful
571,Okay trump fine Let s stop give attention he s crave focus BidenHarris BlueWave,Mixed,Favor,Neither,Non-Hateful
572,Trump mean babble Law Order,Against,Neither,Neither,Non-Hateful
573,realDonaldTrump Great job dirty throw best SuperSpreaderEvent s Weeks leave election think many base could hospitalize dead Nov HeDoesntCareAboutYou He ll probably ask vote early VoteHimOut Vote Biden,Against,Favor,Neither,Hateful
574,joebiden kamalaharris listen Arizona need little help here certain CaptMarkKelly would love see too VoteBlue VoteBidenHarrisToSaveAmerica,Neither,Favor,Neither,Non-Hateful
575,STRANGE NEWLINE NEWLINE Kamala stage last night Joe Biden whose wife remind say clear see NEWLINE NEWLINE Like Pence Trump youd think Senator Harris would Biden say word NEWLINE NEWLINE She wasnt NEWLINE NEWLINE Stranger time might still ahead,Neutral mentions,Against,Neither,Non-Hateful
576,jsolomonReports realDonaldTrump Nothing surprise anymore demoncrats fuel HollywoodPedos God eye Bring wolves Mike Pence POTUS im here MAGA,Favor,Neither,Neither,Hateful
577,Well Rock say vote BidenHarrisLandslide its good enough me SundayMorning SundayThoughts SundayFunday therock Trump VoteReady Vote,Neutral mentions,Favor,Neither,Non-Hateful
578,brodriguez LAW ORDER como dice Trump,Favor,Neither,Neither,Non-Hateful
579,CNN Another event keep spread coronavirus since GOP can t reliably wear damn mask idiotic irresponsible clown TrumpCovid Election GOPCorruptionOverCountry VoteBlue,Against,Favor,Neither,Hateful
580,WalshFreedom Joe bet SUPER excite upcoming debate America finally get see useless unfit candidate action NoBiden Trump MAGAA PresidentialDebate WW,Against,Favor,Neither,Non-Hateful
581,Trump Amy Coney Barrett I already see leftist tear fall SJWs cry women reproductive right Trump,Favor,Neither,Neither,Non-Hateful
582,Social media continually censor Patriots Propagandist media work social media boost liberal leftist agenda Its time patriots stand voice hear vote count DemocratsAreDestroyingAmerica liberalmeltdown Trump,Favor,Neither,Neither,Non-Hateful
583,realDonaldTrump UNITE BEHIND FEARLESS GOD COUNTRY LOVING PRESIDENT TRUMP EVER HEAR JOE KAMALA SAY LOVE AMERICA GOD,Favor,Against,Neither,Non-Hateful
584,Retweet vote Biden,Neither,Favor,Neither,Non-Hateful
585,nnabros Oh Trump isnt give yall Biafra whatever could care less yall eat alive Newsflash,Against,Neither,Neither,Non-Hateful
586,Supreme Court Smacks Democrats Attack Trump,Neutral mentions,Neither,Neither,Non-Hateful
587,Please read think please Vote Joe Biden Kamala Harris,Neither,Favor,Neither,Non-Hateful
588,Science politics NEWLINE NEWLINE Cure disease slow virus spread treat economic pain pass stimulus quack palliatives make things worse hide real cost NEWLINE NEWLINE BidenHarris NEWLINE NEWLINE White House Blocked C D C Order Keep Cruise Ships Docked,Neither,Favor,Neither,Non-Hateful
589,vincentdonofrio honor RBG vote Trump,Favor,Neither,Neither,Non-Hateful
590,realDonaldTrump scene North Houston Texas tonight never see Biden boat parade tractors etc Trump Supporters flood in the like Ive never see MAGA TRUMP SleepyJoeBiden,Favor,Against,Neither,Hateful
591,ProjectLincoln ProjectLincoln SteveSchmidtSES guy mercy EXACTLY America need right now BidenHarris,Neither,Favor,Neither,Non-Hateful
592,The War Economy flatwalk Its complicate watch theyll use lame excuse show up lidfortheday MAGA,Favor,Against,Neither,Non-Hateful
593,Keep Great Trump KAG,Favor,Neither,Neither,Non-Hateful
594,JohnStossel Trump Hes option Joe Biden Kamala Harris sell out care power,Favor,Against,Neither,Non-Hateful
595,I m gonna vote sleepy Joe true Hindu friend heart Kamala Harris run mate another Indian ask NEWLINE NEWLINE Wait can t vote hell NEWLINE NEWLINE Make America great again allow Indians vote pls MAGA JoeWillLeadUs,Neither,Favor,Neither,Non-Hateful
596,ABSOLUTE CUTEST OH GOD BidenHarris,Neither,Favor,Neither,Non-Hateful
597,freddy steddy LewisJJr steelerschic country need send message trump party chance win election important doesnt need think,Against,Neither,Neither,Non-Hateful
598,joannebryantsf JoeBiden Ill never forget speech forever thankful Biden share personal tragedies help others lose husband grief unbearable Biden give hope could move forward support Biden empathy heal nation,Neither,Favor,Neither,Non-Hateful
599,Chileeee ghetto American politics wayyyyy interest Canadian politics NEWLINE NEWLINE PoliticsLive Canada politics america Democratic biden BidenHarris VoteBiden vote BidenHarrisToSaveAmerica,Neither,Favor,Neither,Non-Hateful
600,bigblackjacobin ggreenwald Damn guess karma s bitch people murder random trump supporters street,Neutral mentions,Neither,Neither,Hateful
601,JonHusted Fox Riva GovMikeDeWine realDonaldTrump RINOS Ohio Trump OpenOhioUp tire fake Republicans Ohio Get real get go Governor DeWHINE Husted would wise stand beliefs,Favor,Neither,Neither,Non-Hateful
602,vote person wear mask trust criminals put charge country notably DOJ USPS DHS HHS CDC SCOTUS sicken administration everything VoteHimOut BidenHarris,Against,Favor,Neither,Non-Hateful
603,swamp Trump build DigitalHealth digital health via,Neutral mentions,Neither,Neither,Non-Hateful
604,week long NEWLINE They say color therapeutic amaze color book perfect that Go show love creator Jason Millet MomsAreEverywhere twill keepgoing BidenHarris MomsDemand,Neither,Favor,Neither,Non-Hateful
605,realDonaldTrump JoeBiden Please promise American people one thing that hear name Joe Biden Kamala Harris November Thank you,Neutral mentions,Against,Neither,Non-Hateful
606,Personally think give Trump hour free airtime tantamount give baby razor blade Hes go hurt himself end nobody campaign go say that great idea,Against,Neither,Neither,Non-Hateful
607,Another example media ignore People say NEWLINE NEWLINE Debates Election Trump RidinWithBiden VoteBlue VoteHimOut,Neutral mentions,Neutral mentions,Neither,Non-Hateful
608,FloridaMan Trump make Trump look racist,Against,Neither,Neither,Non-Hateful
609,NicolasEdny People feel guilty think that Voters reporters pundits make lot money enable shitshow want someone fix it NEWLINE Democrat base fix it NEWLINE BidenHarris,Neither,Favor,Neither,Non-Hateful
610,maddow Jewish family attack Kamala President supporters NEWLINE Oh mean Joe Biden Shhhhh,Neither,Mixed,Neither,Non-Hateful
611,jasondashbailey normmacdonald use logic Trump save catch corona virus NEWLINE If want blame him give credit live save NEWLINE NEWLINE Trump save life NEWLINE NEWLINE Over dead worldwide blame on,Favor,Neither,Neither,Non-Hateful
612,JRubinBlogger Dems let Trump GOP s dirty little secret they re sacrifice big stimulus thus Trump s last chance re election get SCOTUS nominee confirm Trump pause Barrett GOP Sen agree new Stimulus Bill,Mixed,Neither,Neither,Non-Hateful
613,Oof LOVE president Nobody EVER hold lifelong crook politicians accountable like this love it President Trump know hes do Sleepy joe Biden probably tremble read tweet Finally someone say think MAGA,Favor,Against,Neither,Non-Hateful
614,JoeBiden KamalaHarris Pompeo now There smooth transition second Trump administration NEWLINE NEWLINE Dear Joe Kamala please say something this sow panic need call out,Neutral mentions,Favor,Neither,Non-Hateful
615,Tension thick debate cut Biden s marmalade spreader NEWLINE NEWLINE trump,Favor,Neutral mentions,Neither,Non-Hateful
616,JoeBiden campaign responsibly DemCast SocialDistancing BidenHarris,Neither,Favor,Neither,Non-Hateful
617,SenKamalaHarris devinnunescon America need team Joe Biden Kamala Harris NEWLINE God Bless America NEWLINE America need crazy capricious selfish liar high position NEWLINE Enough enough,Neither,Favor,Neither,Non-Hateful
618,Decency honor BidenHarris,Neither,Favor,Neither,Non-Hateful
619,EricTrump Eric last time Biden donate US Govt BUT run taxpayer bill golf trip profit government spend Mar a Lago alone NEWLINE NEWLINE Biden hasnt Biden isnt grifter NEWLINE NEWLINE BidenHarris,Neither,Favor,Neither,Non-Hateful
620,ChristianWalk r EXACTLY NEWLINE NEWLINE SAY YES AMERICA INTRINSIC VOTE Trump love core America want revitalize NEWLINE NEWLINE SAYNOTODEMOCRATS horribly mix land u us deeper s it Trust me,Favor,Against,Neither,Hateful
621,Ive finish book Boris Johnson Donald Trump Simon Schuster publish early New Year,Neutral mentions,Neither,Neither,Non-Hateful
622,Newly surface video Joe Biden speak troop stupid bastards NEWLINE NEWLINE SupportOurTroops NEWLINE Trump NEWLINE FridayThoughts realDonaldTrump,Favor,Against,Neither,Non-Hateful
623,KamalaHarris Im sorry Kamala think Republicans care well citizens country dont Thats put vote Joe Biden,Against,Favor,Neither,Non-Hateful
624,RepJimBanks party actively try disenfranchise voters Rep President cast doubt mail vote finally support efforts Confederate BidenHarris,Against,Favor,Neither,Non-Hateful
625,Love see Trump make complete utter mockery every time publicly speak BidenHarris,Against,Favor,Neither,Non-Hateful
626,Riddle this If large portion American workforce require submit random drug screen obtain sustain employment would require person hold important job America Debate Trump realDonaldTrump JoeBiden,Favor,Neutral mentions,Neither,Non-Hateful
627,JarrettBellini Best People Taliban Trump Proud Boys Putin Erdogan MBS Kim Jong Un Nazis Wolverine Watchmen formerly know Michigan Militia GOP,Against,Neither,Neither,Non-Hateful
628,realDonaldTrump you endanger hundreds people Infected staff get great health care try take others away trust karma steer situation appropriately BidenHarris RoseGardenMassacre,Against,Favor,Neither,Hateful
629,greenfield Biden s fault here Campaign take advantage All s fair love war politics Trump prove last point last years BidenHarris,Neutral mentions,Favor,Neither,Non-Hateful
630,PeteButtigieg watch TV right comical keep say American people JoeBiden you DAMN sure arent speak me Trump MoreYears,Favor,Against,Neither,Non-Hateful
631,Kamala Harris make point powerful people try suppress Black vote things change Black ppl vote NEWLINE NEWLINE They know power vote know power vote let use it NAACPConvention BidenHarris,Neither,Favor,Neither,Non-Hateful
632,drop mail in ballot Time DrainTheCesspool VoteHimOut BidenHarris BlueWave Resist,Against,Favor,Neither,Non-Hateful
633,ProjectLincoln woman young old must vote republicans especially Donald trump government it Please vote President joe Biden Vice President Kamala Harris blue senate protect give chance move upwards society,Against,Favor,Neither,Non-Hateful
634,realTuckFrumper AJDelgado Trump date black woman two years marry Melania Youre gonna better this MAGA,Favor,Neither,Neither,Non-Hateful
635,,Neither,Favor,Neither,Non-Hateful
636,Alexand inesnesi silascap realDonaldTrump Trump do need do wouldnt contract COVID would wear mask insist mask wear events insist social distance Listened science hasnt do ANYTHING need do,Against,Neither,Neither,Non-Hateful
637,MilesTaylorUSA former Republican friends sit fence may asses hurt youre will jump right America need realDonaldTrump Oval Office WorstPresidentInHistory BidenHarris,Against,Favor,Neither,Hateful
638,Prepare total domination MAGA Popcorn,Favor,Neither,Neither,Non-Hateful
639,Xia JENFL AndrewYang Ok Recap time again Sensational claim make Me Asks data You dare ask data Me Asking data normal any You Asking data make sound like Trump youre great bud,Neutral mentions,Neither,Neither,Non-Hateful
640,Whats problem Besides limit vocabulary mean RichardGrenell POTUS realDonaldTrump MAGA MAGA LandslideVictory,Favor,Neither,Neither,Non-Hateful
641,BakUp vote Joe vote Kamala Trump Joe right place right time,Against,Mixed,Neither,Non-Hateful
642,CNNnewsroom Really really go there much behavior trump republicans go put with NEWLINE NEWLINE This patiently unfair,Neutral mentions,Neither,Neither,Non-Hateful
643,SpeakerPelosi way highway Americans can t afford leave driveway Get high horse saddle donkey portray jacka MAGA POTUS,Favor,Neither,Neither,Hateful
644,Election Day near greater need war Hell everything possible take mind vote NEWLINE NEWLINE However mail vote heavily favor Biden win NEWLINE NEWLINE There way tRump legally win election crime family ProudBoys have,Against,Favor,Neither,Hateful
645,swimmingsigs realDonaldTrump NEWLINE You likely disappoint result NEWLINE Trump,Favor,Neither,Neither,Non-Hateful
646,HUGE NEWS Hillary Obama Biden Knew Russian Hoax set Hillary Terrible realDonaldTrump Trump TrumpLandslide NEWLINE,Favor,Against,Neither,Non-Hateful
647,BREAKING GTV Releases SECOND HUNTER BIDEN VIDEO Hunter s Stash Grams Crack Cocaine Scale,Neither,Neither,Neither,Non-Hateful
648,BrianSlimdog RossGilroy Cleisthenes JohnKrahn RobertBrownieJ Cern lXXl willsworldview debbiepalm mikenedie AllistairGraham yourmomspants zypisfy horusrage BlackSwans Realliously Wolfpak smug bme Falchion geraldpayne WFatmun raygrady TakeThatDarwin zapher ipprophet ellen e jools tarik ebu tklforgiven boojune PG ScottWatson MilesColeman joe blev CandySmith HSchruti PraiseHisName globalist pray pesci ThinkerFreed stthes verniejim VelvetEven markthorsby randolf tcunderdahl Glad bAtheist martin maverick kris callmegoro Rationalist SRipici BEWARE They re gonna stop everyone beware they re gonna stop add They re gonna stop Election Day November they re gonna stop Election Day Kamala Harris,Neither,Neutral mentions,Neither,Non-Hateful
649,brad dickson TrumpClan refuse mask up mock everyone include JoeBiden mask up hold super spreader events rally want BidenHarris suspend campaign NEWLINE NEWLINE I f cking think so NEWLINE NEWLINE The irony all,Against,Favor,Neither,Non-Hateful
650,could use support work recharter California Young Dem Technology Innovation Caucus miss deadline prepare next deadline NEWLINE NEWLINE cydtechcaucus NEWLINE biden NEWLINE technology,Neither,Favor,Neither,Non-Hateful
651,andrewkimmel But but but they speak RNC Theyre heroes every rich white bigot model NRA supporters NEWLINE NEWLINE EndTheNightmare NEWLINE ETTD NEWLINE BidenHarris,Neither,Favor,Neither,Non-Hateful
652,TheRock JoeBiden KamalaHarris Wow overpay celebrity give advice live real world rest us defundhollywood Trump,Favor,Neutral mentions,Neither,Non-Hateful
653,Ok whose job vet Republican candidate potus epic fuck world history TrumpIsANationalSecurityThreat NEWLINE TrumpIsNotABillionaire TrumpTaxCheat VoteBlue BidenHarrisToSaveAmerica,Against,Favor,Neither,Hateful
654,johncusack I m optimistic I m unclenching sphincter election call Biden,Neither,Favor,Neither,Non-Hateful
655,KamalaHarris Thank link Trump,Favor,Neutral mentions,Neither,Non-Hateful
656,Civil unrest when perceive inspire tribal loyalty cult membership allegiance be one greatest source narcissistic supply There s glimpse Trump s fascination intoxicate think civil war revolt impeachment etc,Against,Neither,Neither,Non-Hateful
657,GreenNewDealer jtbesquire LEISURE SRVCS Awesome strategy Vote Biden fear delusional belief he s lesser evil get use exact shit every four years Meanwhile they ll move Overton window right,Neither,Mixed,Neither,Non-Hateful
658,Acosta Awesome time like present NEWLINE StillWinning NEWLINE Trump,Favor,Neither,Neither,Non-Hateful
659,IvankaTrump Jared Kushner NEWLINE NEWLINE Is possible public eye for say the exact amount time Trump announce COVID infect,Against,Neither,Neither,Non-Hateful
660,Today wake time love finish Castlevania Netflix me time as always saw Joe Biden Kamala Harris fricking go one best friends see nearly years wonderful day,Neither,Favor,Neither,Non-Hateful
661,presidential race call Associated Press Joe Biden Kamala Harris there s still long road ahead NEWLINE NEWLINE Here latest reactions news across country Tampa Bay,Neither,Neutral mentions,Neither,Non-Hateful
662,DECLARING OCTOBER TRUMP American Flag Month Posting Trump Images American Flags NEWLINE NEWLINE While Radical Left Burns Them WEAR THEM NEWLINE NEWLINE Get Tees Collection NEWLINE on Home Page site NEWLINE,Against,Neither,Neither,Non-Hateful
663,really cant motherfucker anymore NEWLINE please vote folks BidenHarris,Neither,Favor,Neither,Hateful
664,BREAKING spirit peacemaking JoeBiden donate realDonaldTrump Eliminating Trumps stress tax burden head tonights debate BidenHarris,Neutral mentions,Favor,Neither,Non-Hateful
665,ProjectLincoln condemn white supremacists deny call troop losers American President MAGA,Against,Neither,Neither,Non-Hateful
666,I m progressive Democrat I ve support Bernie believe many objectives also vote HRC vote BidenHarris us find way drive social progress part Government listentobernie Demcast DemCastMI,Neither,Favor,Neither,Non-Hateful
667,Joe Biden awesome NEWLINE NEWLINE Gotta make sure win largest landslide victory ever history USA Please vote loyal followers Robin Vos Vote JoelforWI replace Vos,Neither,Favor,Neither,Non-Hateful
668,Jacquelyn Awww Thanks Jacquelyn best NEWLINE NEWLINE BidenHarris,Neither,Favor,Neither,Non-Hateful
669,ur son human trafficker NEWLINE Cant count NEWLINE Cant stand hour without IV addy NEWLINE Do u history racist word policies NEWLINE R U lie puppet NEWLINE Cant complete sentence w o prompter ear piece NEWLINE You run pres USA NEWLINE Trump,Favor,Neither,Neither,Hateful
670,JoeBiden love Joe Kamala final stretch mr President madam Vice president Time heal Unite beautiful country God Bless America United States,Neither,Favor,Neither,Non-Hateful
671,JackPosobiec Trump supporter want dead lock up publicly state believe them,Neutral mentions,Neither,Neither,Non-Hateful
672,TheDailyShow Its likely sham keep name press non stop two weeks gain sympathy say nothing cold Sucks cant trust president guess its suck almost years VOTE BidenHarris,Against,Favor,Neither,Non-Hateful
673,November vote honor RBGs memory Vote work Vote people help throughout life Vote represent her NEWLINE NEWLINE Spoiler not Donald Trump NEWLINE NEWLINE Election BidenHarris Landslide Election Biden BidenHarris,Against,Favor,Neither,Non-Hateful
674,Pennsylvania emerge tip point battleground Biden Trump Election Day via michaelscherer myhlee AmyEGardner jdawsey,Neutral mentions,Neutral mentions,Neither,Non-Hateful
675,KamalaHarris Maria man sure jump get conservative judge swear in act like pandemic could ve maybe kick ass NEWLINE If Trump wear mask encourage mask wear NEWLINE Enacted PPE manufacture sooner,Against,Neutral mentions,Neither,Non-Hateful
676,igrullonpaz Women also think go like can t get health insurance VoteBlue,Neither,Favor,Neither,Non-Hateful
677,PennyLaneBanker RepsForBiden keep diss Biden use teleprompter Dear Leader could even read one BidenHarris,Against,Favor,Neither,Non-Hateful
678,Rudy GOP Speak Trumpanese Lies Rinoshit NEWLINE Real Patriots Steal People NEWLINE Like realDonaldTrump steal Millions poor NEWLINE Joe Paid Taxes Rudy Mitch Lyndsy Marco NEWLINE Time Audits NEWLINE Real Americans Companies Pay DUE NEWLINE Biden,Against,Favor,Neither,Non-Hateful
679,NYtimes factually right dollars Trump pay tax big game design fittest Darwin suggest TrumpTaxReturns NYTimes Trump,Favor,Neither,Neither,Non-Hateful
680,Progressive group along members House Democratic Squad unveil agenda lay markers big Joe Biden administration could go coronavirus aid economic relief next year,Neither,Neutral mentions,Neither,Non-Hateful
681,GrandpaSnarky Ladygeekp Ladyjackson LiberalAnguish LynnieBear manchester MargieA Marymol Geekusa Gloria Educ CosmicDarrell LochnerWalter MoRandolph PalominoPony Peter S Becks Followed all NEWLINE NEWLINE days Election NEWLINE Biden NEWLINE Resist NEWLINE StrongerTogether,Neither,Favor,Neither,Non-Hateful
682,heart uf a king Dumb question dumb KAMALA HARRIS room diversity strength Joe Biden appreciate that table big round oh noisy,Neither,Favor,Neither,Non-Hateful
683,realDonaldTrump today wake call you Pack bag Donnie boy Youre longer want VOTE OUT TrumpLiedPeopleDied TrumpIsATraitor BidenHarris VoteHimOut VoteOrDie,Against,Favor,Neither,Non-Hateful
684,This election much Joe Biden me soul America willingness fight it lot work ahead us Let s get start Vice President elect Kamala Harris say NEWLINE NEWLINE,Neither,Neutral mentions,Neither,Non-Hateful
685,Fly Sistah JoyAnnReid Dear Panicking GOP Donors get test self quarantine vote BidenHarris,Against,Favor,Neither,Non-Hateful
686,The friendship two countries stand test time say Angela Merkel NEWLINE NEWLINE Without mention elephant room German chancellor congratulate Joe Biden Kamala Harris project win US el,Neither,Neutral mentions,Neither,Non-Hateful
687,We re Rapaport NEWLINE SmokingJoe Biden,Neither,Favor,Neither,Non-Hateful
688,absentee ballot come mail today Dont forget vote now Nov NEWLINE NEWLINE NEWLINE iamavoter voteforchange votelikeyourlifedependsonit bidenharris,Neither,Favor,Neither,Non-Hateful
689,DineshDSouza pay try download Trump Card YouTube allow it,Neutral mentions,Neither,Neither,Non-Hateful
690,GOP Trump lie American people since take office NEWLINE TrumpLiedPeopleDied,Against,Neither,Neither,Non-Hateful
691,Beardie smarter Sleepy Joe Lying Kamala combine know better crap bed Can t say Bozos,Neither,Favor,Neither,Hateful
692,markfollman gtconway d many possibilities trump biggest legacy negative VoteBlue,Against,Favor,Neither,Non-Hateful
693,President Gaspy McFascist lol NEWLINE NEWLINE Win lose horrors trumpism magically disappear BidenHarris win Ameri fight w real estate better NEWLINE NEWLINE Along way say mental health help one calli fraudst trump Gaspy McFascist,Against,Favor,Neither,Non-Hateful
694,stillgray Motorcde drive bunker shof realDonaldTrump BidenHarris campaign life support,Neutral mentions,Neutral mentions,Neither,Non-Hateful
695,midwestmomts JoeBiden see north KC outnumber trump sign,Against,Neutral mentions,Neither,Non-Hateful
696,Joe Biden Kamala Harris officially state Massachusetts Connecticut Rhode Island,Neither,Neutral mentions,Neither,Non-Hateful
697,first woman first Black South Asian person elect vice president Kamala Harris make history NEWLINE,Neither,Neutral mentions,Neither,Non-Hateful
698,Yes President Donald J Trump Trump,Favor,Neither,Neither,Non-Hateful
699,joelockhart Oh FFS Im tire NEWLINE vote BidenHarris TrumpIsARacist,Against,Favor,Neither,Non-Hateful
700,Get there want answer fund this Trump KAG,Favor,Neither,Neither,Non-Hateful
701,JoeBiden America Choose Trump want focus get out Trying shift focus answer question Thats Democratic way Trump Trump LandslideVictory,Favor,Neutral mentions,Neither,Non-Hateful
702,Kamala Harris US President elect Joe Biden s run mate make history become country s first female Vice President elect NEWLINE NEWLINE Biden bidenharis BidenHarris,Neither,Neutral mentions,Neither,Non-Hateful
703,dmastj THEToughCookie FLOTUS POTUS USSupremeCourt Hey bot Trump even respect RBG s die wish deserve zero respect return BidenHarris,Against,Favor,Neither,Non-Hateful
704,realDonaldTrump tax day Im sure youre go find way make us pay too NEWLINE NEWLINE BidenHarris NEWLINE NEWLINE And course theres always tweet,Against,Favor,Neither,Non-Hateful
705,TRUTH BOMB Former Sen Bob Dole say members Commission Presidential Debates dont support realDonaldTrump NEWLINE NEWLINE It s obviously bias Dole s right concern NEWLINE NEWLINE,Neutral mentions,Neither,Neither,Non-Hateful
706,Sen Kennedy Senator Harris colleagues say liar wrong NEWLINE Judge Barrett be,Neither,Neutral mentions,Neither,Non-Hateful
707,Ukraine s President Zelenskyy congratulate Joe Biden Kamala Harris Twitter,Neither,Neutral mentions,Neither,Non-Hateful
708,WhiteHouse realDonaldTrump barely make middle class wag pay time tax pay cheater taxfraud NEWLINE NEWLINE BidenHarris,Against,Favor,Neither,Non-Hateful
709,shannonrwatts PrincessBravato One less vote Trump Election Day Shell lock up,Against,Neither,Neither,Non-Hateful
710,JJohnsonLaw robsmithonline Entitlement dangerous leave wing myth Trump,Favor,Neither,Neither,Non-Hateful
711,naomirwolf try people fake news rah rah rah drown credible source show liberty restrict Socialist agenda leave Also didnt vote basement joe really vote Kamala Think Biden bad Look record,Neither,Against,Neither,Non-Hateful
712,evanmcmurry Oh lookie wear mask now Guess deny ever go without them NEWLINE NEWLINE VoteBlue,Neither,Favor,Neither,Non-Hateful
713,Like really NBCNews give Trump platform REFUSED DEBATE Joe Biden rat literally future democracy still act like business usual,Against,Neutral mentions,Neither,Non-Hateful
714,StopTheCriminal Like smug idiot would concede anyone lose BidenHarris,Against,Favor,Neither,Hateful
715,RETWEET JOE BIDEN VICTORIOUS TRUMP BECOMING TH PRESIDENT NEWLINE NEWLINE KAMALA HARRIS BECOMES FIRST BLACK WOMAN VICE PRESIDENT UNITED STATES AMERICA NOW AND FOREVER RECORDED THE ANNALS HISTORY NEWLINE NEWLINE Black Lives Matter,Neutral mentions,Favor,Neither,Non-Hateful
716,GottaLaff get back put ballot drop box local library crowd Sunny sky NEWLINE NEWLINE VoteBlue,Neither,Favor,Neither,Non-Hateful
717,Joe Biden Kamala Harris drip decency NEWLINE NEWLINE DecencyMatters NEWLINE VoteBidenHarris,Neither,Favor,Neither,Non-Hateful
718,cannot say often enough I d like congratulate Kamala Harris Joe Biden victory look forward see restore and institutionalize norms Executive accountability responsibility world admire us again,Neither,Favor,Neither,Non-Hateful
719,Michael J Matt King George s their first choice get in plan Trojan horse Joe Biden put pasture NEWLINE,Neither,Against,Neither,Hateful
720,BernieSanders Im vote Trump Trump AmericaFirst KAG DrainTheSwamp TrumpLandslideVictory,Favor,Neither,Neither,Non-Hateful
721,Trump boast make insulin cheap its like water Americans diabetes beg differ SEE,Mixed,Neither,Neither,Non-Hateful
722,Follow recipes voteblue DitchMitch BidenHarris resist BLM RBG,Neither,Favor,Neither,Non-Hateful
723,SherrieInGA RawTooReal GregHowardJr cool BidenHarris,Neither,Favor,Neither,Non-Hateful
724,Analysis dont count Trump yet,Neutral mentions,Neither,Neither,Non-Hateful
725,joelockhart TheDemCoalition Biden need tv present plan daily Put ads back Biden GoJoe,Neither,Favor,Neither,Non-Hateful
726,Joe Kamala will work others make progress goals care us help us regardless label ask join vote Joe Biden Kamala Harris begin heal move forward together,Neither,Favor,Neither,Non-Hateful
