HITId,tweet,sentiment,directness,annotator_sentiment,target,group
522,يبدو انك قد اكثرت من بول البعير الصباحي… @user,offensive,direct,indifference,other,individual
523,مافيش حد يقدر يقول انك بايرة وانا متاكد ان فيه كتير غيري بيحاولو يوصلولك علشان كدة انا اصلا بسألك وقلقان بس عموما ك… @url,normal,indirect,indifference,other,individual
524,هو ممكن أقول عليه ده صفة عامة/ملحوظة ،و مش ع التحرش ب عينه ،ممكن نشملها ب ما ينافي الاعراف سوا كان امر صغير جدا ل… @url,normal,indirect,indifference,other,women
525,سلم فاك رد لامعه لايفهم الا بول البعير @url,normal,indirect,shock,origin,other
526,@user @user @user مشكله شرابين بول البعير,abusive_disrespectful,direct,indifference,other,other
527,@user @user تحليلكم السياسي..يشبه تحليل بول البعير الذي تشربوه.,offensive,direct,indifference,other,other
528,@user @user والله بعذري بكم يا الحريم,disrespectful_normal,indirect,indifference,gender,women
529,رد على بعض الافارقة المستعربين,abusive_normal,indirect,indifference,origin,african_descent
530,@user @user هو من جماعة شرب بول  البعير حلال والأرض مسطحة وثابتة والشمس  تدور حولها  @url,disrespectful,direct,indifference,origin,individual
531,@user @user اشربلك بول خنازير مع القات اذا جيت تحللل الاحداث لم تزبط,hateful,direct,shock,origin,individual
532,#ماساكتاش .. هل ستقي الصافرة #المغربيات شر #التحرش ؟,normal,indirect,sadness_indifference,gender,women
533,@user @user مش معروفين عالميا غير بلاد بول البعير,offensive,indirect,indifference,origin,arabs
534,من الان فصاعدًا خنزير هي مدحة !!!!,normal,direct,indifference,other,other
535,بالنسبة لموضوع وئام شوقي والحاصل ..موضوع التحرش والامور دي ...نبداهو من اساسياتو من انو النظر بشهوة دا تحرش الي اخر شي فيهو,normal,direct,indifference,other,individual
536,@user @user @user خلافنا مع الشوال لأنه أتدخل في شؤون نادينا ف بالتالي هيسبب ضرر لينا ف كل… @url,normal,indirect,indifference,other,individual
537,اى لطخ هيغلط فى الأهلى هندوس على وش امه بالجزمه,abusive_hateful,indirect,indifference,other,other
538,@user @user لا الشيم والقيم تقاص حسب معايير خنازير شرق سلوى وتتمثل بعقوق الوالدين وطردهم وتشريدهم… @url,disrespectful,indirect,shock,other,other
539,عادي ردوا زي كذا بس لو التحرش انقلب لاعتداء جسدي بالض… @url,offensive_normal,indirect,indifference_disgust,gender,women
540,خنزير ومذيع في الخنزيرة,abusive_disrespectful,indirect,indifference,other,individual
541,حصل شفت حمار بيبرر التحرش بنوع العلف؟,disrespectful_normal,indirect,indifference_disgust,gender,individual
542,@user @user هذا ما يوجد فالسعدوية لذلك أنصحك أخي بعدم المغامرة والذهاب إلى بلاد بول البعير @user,abusive_hateful,indirect,anger_confusion_sadness_indifference_disgust,other,other
543,@user @user @user @user همج اخرهم يشربون بول البعير @user,offensive,direct,indifference,origin,individual
544,مقتل 19 خنزير من العناصر اﻻرهابيه التي قامت بحادث المنيا والتي كانت مختبئة بمنطقة جبلية بالظهير الصحراوي,abusive_normal,indirect,indifference_disgust,other,other
545,@user @user طبيعى ابن الوسخ وسخ,abusive_offensive,indirect,shock,other,individual
546,لحس مص ممحمونة محنة عاهرة منحرفة مطلقة مولعه مشتهية كلبه كلبتك],offensive,direct,shock,gender,other
547,انو زهقنا ، ما عندن غير السعوديين و  بول البعير ،خلص اخترعوا شي تاني.عأساس عم تشربوا بالضاحية مي مقدسة مثلاً؟؟,disrespectful_normal,direct,indifference,origin,other
548,اوعى تصدق الحريم  @url,normal,indirect,indifference,gender,women
549,سواء كان جد اليهود من العراق أم من انتاركتيكا,offensive_normal,indirect,indifference_disgust,other,jews
550,مين تبي الحس كسها وينها اربعينيه ثلاثينية او متزوجه بدويه  محرومه ندردش سوالف منحرفة ثلاثينيه,offensive,indirect,shock_disgust,origin,women
551,@user @user لأن من يدير الفار  ذنب خنزير,normal,indirect,indifference,other,other
552,@user @user دايرين حملة ضد التحرش @url,normal,indirect,indifference,gender,women
553,وادي وسخ بعد ماطردناه من مصر رايح يتمسح في بلد تانيه!!... @url,normal,indirect,indifference_disgust,other,individual
554,رؤساء اتحادات الرماية الافارقة في زيارة الي قناة السويس الجديدة @url,normal,indirect,indifference,other,other
555,بعد ما رآحو الحريم,abusive_normal,indirect,indifference_disgust,other,women
556,بول البعير,disrespectful,indirect,indifference,origin,other
557,ايش رأي خنازير (اعضاء) هيئة كبار الخنازير (العلماء) في نجد والحجاز @url,offensive,direct,indifference,religion,other
558,يقول عزمي بشارة: لم يكن اللاجئون الفلسطينيون عالة على أحد، ولم يكونوا عبثاً، بل كوّنوا مجتمعاً نشيطاً ومنتجاً وعامل… @url,normal,indirect,sadness,origin,refugees
559,#فيديو || هندوس غاضبون اتهموا مسلماً بالسرقة فضربوه حتى الموت بحضور 4 من رجال الشرطة @url,abusive_normal,indirect,sadness,religion,indian/hindu
560,انا اشوف اننا نجمع كل الارميز ونحطهم في جوره ونكب عليهم كاز وسخ ونولع فيهم ونخلص العالم منهم,hateful,indirect,shock,other,other
561,في وستروس نفس الامر  تعامل الجنود مع المراءه مع تفرج المواطنين عليها لايعتبر نوع من التحرش بل لتطبيق الدين @url,normal,direct,shock,religion,other
562,والكلاب السود والخنازير تاكلنا,abusive_hateful,indirect,shock,origin,other
563,ما يحتاج نقولكم وين تحطون الأحصائيات .. كرة القدم ما قل ودل .. كرة القدم اهداف يا كلاب يا خنازير @url,offensive,direct,indifference_disgust,other,other
564,@user @user خنازير,offensive,indirect,shock,other,other
565,@user @user @user @user @user احسن من بول البعير,hateful,direct,indifference,origin,other
566,تنابل الصحراء....شاربي بول البعير... @url,abusive_disrespectful,indirect,indifference,other,other
567,باير = كثير الكذب,normal,indirect,indifference,other,other
568,@user @user @user تمجد الفرس لان دمك فارسي وسخ وسبحان من فضحكم ع يد ال سعود ..  وباقي بيأدبونك باذن الل… @url,hateful,direct,indifference,other,individual
569,غدا #ليفربول يلحق مانشستر ،،، كلما نتشمت بهذا الفريق نخسر بالمباراة التأليه ،،، خنازير تشور,offensive,direct,shock,other,other
570,@user @user @user على من تكذب يا بول البعير .. راجع التاريخ اول من وصل المغرب الامازيغي هو ادريس الا… @url,normal,direct,indifference_disgust,origin,individual
571,ما انصح بزيارة اوربا بشكل عام بشهر فبراير بسبب الاجواء الشتوية القارصة..لاسيما وانت تتلكم عن شهر عسل,normal,indirect,indifference,other,other
572,@user @user شاربي بول البعير احسن لكم تتكلمو في سباق الهجن كرةًالقدم بريىىءة منكم.,offensive,direct,indifference,origin,other
573,@user @user ههههههههههههههه هي كل السعودية محافظة وحدة من محافظات ايران اصحى خاف شارب بول البعير لولا بيت الل… @url,offensive,direct,sadness,origin,other
574,يارب الأهلي...يارب افريقيا,normal,indirect,indifference,other,other
575,@user @user خنزير اجلكم الله هذا المعتوه,abusive_offensive,indirect,indifference,other,individual
576,سوري وسخ,offensive,direct,anger_disgust,origin,other
577,@user @user هل معقول هذا الكلام من شعب مسرى رسول الله ومصطلح خنزير ليس شتم بل مصطلح لمن يظهر بمظهر حس… @url,normal,indirect,shock,other,other
578,مُنْحَطّ ، خنزير تافِه  حَقِير  وقح  دَنِيء  رَدِيء  سافِل  ساقِط   سَيِّء  فاجِر  فاسِد  فاسِق  قذر … @url,hateful,direct,shock,other,individual
579,الذكور بوجود الاناث يصيرون خنازير صغيره,disrespectful,indirect,shock,gender,other
580,هاي جربت احساس الحريم اللي يدرسون مع بزران,normal,indirect,indifference,other,individual
581,@user @user هنا اعترف انه سوري وسخ,abusive_hateful,direct,disgust,origin,individual
582,يا بايره يلي كل دفعتك مخطوبين @url,disrespectful_normal,indirect,indifference,other,women
583,حتي التحرش محرومة منه,offensive,indirect,confusion_indifference,gender,individual
584,كلاب. و. خنازير. الخنزيرة.  اعزكم. الله.  بعد. ان. أخذ. منهم. التعب. و الإرهاق.  من.  النباح.  و. الكذب. و تلفيق ال… @url,hateful,direct,indifference,other,other
585,من تاونات..تدوينة تثير النقاش داخل مواقع التواصل حول قانون التحرش الجديد @url,abusive_normal,indirect,indifference,other,other
586,@user @user @user @user @user ايها الحمار انت الظاهر مكثر من شرب بول البعير… @url,offensive,direct,shock,origin,individual
587,@user @user والله يا خنزير انت وياه يا حثالة يا مشرد انت وياة  كلكم عبيد الفلس,hateful,indirect,disgust,origin,individual
588,انت اللى باعتها يا وسخ @url,abusive_disrespectful,direct,indifference,other,individual
589,هآرتز: الاف من اللاجئين الافارقة (ربع مليون) في #مصر وقعوا ضحية لتجارة الاعضاء الغير قانونية!,normal,indirect,shock,origin,refugees
590,@user @user @user محمد بن سلمان خلاكم تلفو حولين نفسكم بول البعير احسن من الكلام معاك خلي… @url,abusive_hateful,direct,indifference,origin,individual
591,ولا الردى في مجاله عملة ...بايره,disrespectful_normal,indirect,indifference,other,women
592,كمية التحرش اللفظي الي تعرضت لها في الوسط السينمائي والصحافي في بيروت كبيرة,normal,indirect,indifference,other,other
593,@user @user بتضحك عالتغردية دي ؟ ده بيتمنى يكون الكوتيكس بتاع الحريم  ده يوم المنى عنده هو يط… @url,offensive,direct,shock,other,women
594,@user @user @user مؤثر فيك بول البعير يا متسعوووود,offensive,direct,indifference,origin,individual
595,مصور حلبي بالتلفزيون السوري بالسجن بتهمة التحرش بزميلته @url,offensive,indirect,anger_indifference,other,other
596,لكل متبرجة ولكل محتشمة على حد السواء,disrespectful_normal,direct,indifference_disgust,other,women
597,@user @user @user @user شرب بول البعير في لبنان @url,abusive_disrespectful,direct,anger_disgust,origin,individual
598,@user @user @user أنا خوه يما قاتلي قلها تقعدي بايرة,abusive_disrespectful,indirect,indifference,other,women
599,نأمل ان يزداد الوعي لدى الجميع ..فمشكلة التحرش اصبحت مقلقه للجميع @url,normal,indirect,indifference,other,other
600,خنزير متعصب... سياسية تسب ترامب على الهواء (فيديو) - @url @url,offensive,direct,anger_disgust,other,individual
601,@user @user حاولت اني ارد عليك... لكن صعب والف صعب انك ترد على واحد ابن زنى مثلك.... لكن صدقني ابن الزنا أشرف منك يا خنزير,abusive,direct,shock,other,individual
602,خنازير جماعة الإخوان المفلسين في غابات خارج إسطنبول بقيادة الراقصة والبقرة الإخوانية توكل @url,disrespectful,indirect,indifference,other,other
603,عمرك اتعرضت للمعاكسة او التحرش اللفظي,abusive_normal,indirect,indifference_disgust,other,individual
604,صباحووو خنازيري السمينة حابب افطر على خنزير منكم خنزير,hateful,indirect,disgust,other,other
605,يلعن امك فريق وش بلاني وشجعتكم يا عيال الكلب خنازير,offensive,direct,shock,other,individual
606,@user @user ليك فيك تشرب بول البعير هيك بترتاح واعصابك بترتخي شوى مملكة المنشار,disrespectful,indirect,indifference,other,individual
607,نسي يشرب كباية بول البعير وشرب بدالها بول خنازير,abusive_hateful,indirect,indifference,origin,arabs
608,@user @user  اليوم الخفافيش هادين هاملين هاشتاغ أي أحلى السهر ولا النوم بول البعير عا… @user,normal,indirect,indifference,other,other
609,والبروف ده رسالة الدكتوراه حقتو كانت في أنواع بول البعير الصالح للشرب ولا شنو؟,normal,indirect,indifference,other,other
610,@user @user @user وسيدحر تنظيم الاخوان الارهابي وسيعود الجنوب وسيعود خنازير الشمال لحظيرتهم باذن الله.,offensive,indirect,indifference,other,other
611,بس بعديها عرفت ان كل واحد ليه مبدأ وسخ بيمشي بيه !,offensive,indirect,indifference,other,other
612,بالفيديو.. الكلباني يرجِّح جواز دخول اليهود والنصارى للمساجد .. وهذا ما قاله عن النظر لوجه المرأة! @url,normal,indirect,indifference,other,individual
613,- ايدول ستفضح التحرش الذي تتعرض له من قبل احد الاشخاص في شركتها,fearful_abusive_offensive_disrespectful_normal,direct,indifference,other,individual
614,يوسف سيف بيقول مااجمل الكورة الاطفال مبسوطين النساء مبسوطين حتى الافارقة مبسوطين كل الناس مبسوطين..كلهم مبسوطين فعل… @url,offensive,direct,indifference,other,individual
615,نصيحة لوجه الله..بلاش تعمل ريتويت لواحدة متبرجة..,normal,direct,indifference,gender,women
616,علي اهل غزة قتل كل خنزير حمساوي عليكمزجمع اسمائهم وملاحقتهم سياتي مثل يوم رابعة للسحل وحرق خنازير البنا وقطب  #ارفعوا_العقوبات_عن_غزة,hateful,indirect,shock_disgust,other,other
617,@user @user لكان خليلكن بول البعير,disrespectful,indirect,indifference,other,other
618,مش بالامر هو ولا زرار هندوس عليه ولو ع العشره ابقوا… @url,normal,indirect,indifference,other,other
619,ايممى اليوم متبرجه,offensive,indirect,indifference,gender,women
620,مسج بيقلي لو سمحت بطل حكي قاذورات وكلام وسخ انت مو هيك ابدا,disrespectful_normal,direct,sadness,other,individual
621,جبر الخواطر على الله.. لا تكسر في خاطر انسان مسكين يا حيوان.. شعب اقسم بالله وسخ.. عمرها الفلوس ما بتعمل بني آدم أن مش متربي,offensive,indirect,indifference,origin,other
622,@user @user ايه الجديد الاتحاد الافريقي ده اتحاد وسخ,offensive,direct,shock,other,other
623,#طال_عمره بيتهيألي دالوقت كل واحد عرف مقامه وتمامه.. واللي هييجي ع الأهلي بنص كلمة هندوس على وشه ووش اللي يعرص له ب… @url,hateful_normal,indirect,indifference_disgust,other,individual
624,خنازير العرب من الخونة ودعاة الرذيلة والفساد يزعمون انهم هاجروا الى الغرب والهجرة تكون من بلاد الكفر الى ديار الاسلام  وصفهم الحقيقى خنازير,abusive_hateful,indirect,indifference,origin,arabs
625,@user @user ملعقة و برج حوت المزفر و شبرلو و نص بايره,normal,indirect,sadness,other,women
626,صراحة و بكل تواضع عرب إفريقيا بعيدين بسنوات ضوئية عن شاربي بول البعير إنشاء الله نستكمل توراثنا ونصبح من الدول المت… @user,hateful,indirect,indifference,origin,african_descent
627,من إشاعات الاغتصابات في السجون واللاجئين الأفارقة إلى حكاية اللانجوس والمقويات الجنسية والترويج لها إعلاميا..,normal,indirect,shock,origin,other
628,ربنا يولع فيكى ب جاز وسخ يااوسخ شخصية ف العالم,normal,direct,shock_disgust,origin,individual
629,@user @user طز فيك وفي ناديك كل مصيبه وراها انتوا يا يهود انتو ا اللي بتحرضوا بترضوا بالظلم لو ل… @url,offensive,direct,shock,other,jews
630,@user @user مهما كان ومهما حصل فهو سمو الامير محبوب الشعب وعلى كل خنزير من امثالك التزام الصمت فانت مج… @url,hateful,direct,disgust,origin,individual
631,تعرض الشخصية البصرية الشيخ محمد الزيداوي الى محاولة اغتيال فاشلة من قبل زمرة منحرفة ما أدى الى إصابته  إصابة بسيطة وا…,normal,indirect,sadness_indifference,other,individual
632,رقصة  الخدم الافارقة المزمار صارت واجهه تراثنا الفني بالخارج ،شي يحزن,normal,indirect,shock,other,african_descent
633,@user @user كبسة بول البعير,disrespectful,indirect,sadness,other,other
634,ومهرجان الجونه هو نهاية طبيعيه لكل متبرجه انحرفت عن…,abusive_disrespectful,direct,shock,gender,women
635,و فعلا اوسخ ما جابت القلعة البيضاء هو انت اتفوووووو عليك,offensive,direct,anger_indifference,other,individual
636,عيزت واحاول اغير وجهه نظره الرياييل بسواقه الحريم,offensive,indirect,indifference_disgust,other,other
637,لكل زمان معجزة، ومعجزة هذا الزمان هي الاستقامة في وقت اصبحت فيه كل الطرق منحرفة.,normal,indirect,indifference,other,other
638,@user @user غرامات بالرشوة يا وسخ,abusive_disrespectful,direct,shock,other,individual
639,معاك ريال تسوين ريال ، لايضحكون بعقلك خنازير الليبرا…,disrespectful,direct,indifference,other,individual
640,حسن نصرالله بخطاب عاشوراء من شوي: اللاجئون السوريون يضغطون على لبنان كهربائيًا. بجد.,normal,direct,indifference_disgust,origin,refugees
641,@user ياورده هاذا ابو كلب المسمي ابو اسامه واحد خنزير من خنازير ايران وعاده يقول مش انقلابي لعنة الله عل… @url,abusive_offensive,direct,shock,origin,other
642,@user @user @user @user @user @user والله ان بول البعير انظف واشرف منه,abusive_hateful,direct,disgust,origin,individual
643,@user @user الفايدة منهم انهم يوروا لامثالكم قيمتكم الحقيقية ولانسيتوا لما كنتوا تشربوا بول البعير و… @user,offensive,indirect,indifference,other,other
644,بعد المدارس وذهاب الازواج للدوام اغلب الحريم تفقد الحنية والرومانسية رغم افضل جوا لها هوا في الصباح فلات… @url,normal,indirect,indifference,gender,women
645,@user @user هههههههههههههههههههههههههههههههههههههههههههههههه صاروخ بول البعير إحنا اللي دقينا خشومكم… @url,hateful,indirect,shock_disgust,origin,other
646,يواصل مركز #أمان #حملة_لا_تلمسني لتوعية الأطفال ضد التحرش. @url,normal,indirect,indifference,other,other
647,@user @user كس امك ياعار هيه عاهره صاقطه شجاب ذولى عليهم بس انته جماعة #بول_البعير_تموتون_من_الشيعه ي… @url,abusive,direct,shock_disgust,other,individual
648,@user @user بكل اختصار كلما زاد تبرج البنت زادت نسبة احتمال التحرش فيها ..,abusive_normal,direct,indifference,other,women
649,لقد تعلمت مند زمن طويل ألا أتعارك مع خنزير لأنني بدلك سأتسخ وذلك يروق له,normal,indirect,indifference,other,other
650,@user @user اذا كنتم شعب مدمن على بول البعير انه علاج من التحسس وتستبركون فيه ....هل ترجو من شعبكم الخير… @user,normal,indirect,shock,origin,other
651,@user @user @user يا خنزير.  وش رايك بإستقبال عمان وقطر لرئيس اسرائيل.,offensive,direct,anger_disgust,origin,individual
652,#في_بلادك_تقدري يكونوا عندك اهداف اهم من الزواج و الانجاب، بلا ما يقولولك  حابة تبقاي بايرة!!!!,normal,indirect,indifference,gender,women
653,@user @user ناقش  بهيم  ولا تناقش  شاربي بول  البعير  يا  بعير  #احط  لا وقت  عندي لكي أجادل   بهيم… @url,normal,indirect,sadness,origin,other
654,عمري ما لاعت جبدي كثر اليوم .. شرحت خنزير يا جماعة@url,normal,indirect,indifference,other,other
655,@user @user انتو من قتله والان تبكو عليه ي خنازير حسن زبيره,hateful,direct,indifference,other,other
656,@user @user @user @user بول البعير . البعير كان يركب عليه أجدادك ويتنقلون عليه لايكون كانه… @user,normal,indirect,sadness,other,other
657,@user @user @user @user @user هات انت إحصائية أن مصر التحرش بها مثل شرب الماء.!! ..… @url,normal,indirect,indifference,origin,women
658,@user @user @user لا تشيل هم سوف نبني اليمن بعد التخلص من الخونة من خنازير المجوس,hateful,direct,disgust,origin,other
659,فوق مين يا كلب يا وسخ انتا وهو,hateful,direct,shock,other,individual
660,ثانيًا التحرش مو محتكر على فئة معينة أو جنس معين فيه نساء متحرشات سواء يتحرشن ببنات جنسهن أو بالذكور أو بالأطفال ،… @url,normal,indirect,indifference,gender,women
661,يعني تو لو وحدة ما متبرجة و طالعة حلوة بتقول نريد قانون يمنع الجميلات من الخروج؟ يا بابا روح ربي نفسك و بعدين نتفاه… @url,normal,indirect,indifference,gender,women
662,لو فعلاً بيهرب كان هرب لدولة اوربيه مش عربيه يحكمها خنازير ايران هؤلاء اكذب من ابليس ومن صدقهم فه…,abusive_hateful,direct,shock,other,other
663,@user @user الا يا متبرجه,disrespectful,direct,shock,gender,women
664,@user @user نحفر حفره كبيره ونولع فيهم بجاز وسخ,hateful,indirect,sadness,other,other
665,الحين في ووركينغ شخصية البطل يحب الكائنات الصغيرة بشكل عام بس اتقبلتها لأنه واضح نظرته مو منحرفة,normal,indirect,indifference,other,other
666,والله احنا كلنا مبسوطين ... الافارقة ، المصريين ، العرب ، واحنا !!,normal,indirect,indifference,other,arabs
667,@user لا نريد خنازير,hateful,indirect,shock,other,other
668,الحريم الحين تنخنق,offensive,indirect,indifference,origin,women
669,صالح بن عبدالله السليمان: السعودية: هذا ردي على تهم “الوهابية” الرجعية.. بول البعير.. وتدمير العراق… @url,offensive_normal,indirect,indifference_disgust,other,individual
670,@user @user @user بجهاد نكاح أمك يا شارب بول البعير,offensive,indirect,shock,origin,individual
671,@user @user خوش محلل مال مجاري بول البعير,abusive_offensive,indirect,shock,origin,other
672,@user ليش من فتح المجال لإيران ان تدخل في سوريا ولبنان واليمن والعراق غيركم انتم يا خنازير البيت الأبيض وتل ابيب المجس,abusive_hateful,indirect,indifference,origin,other
673,@user لقتل أهل اليمن يا شارب بول البعير يا زق الصحراء,hateful,indirect,shock,origin,other
674,بتاكل لحم خنازير عالصبح؟ @url,offensive,indirect,indifference,other,individual
675,بول البعير ضرب عقول العالم @url,hateful,indirect,indifference,other,other
676,@user @user @user أبناء الهنود والبنغال يتكلمون شاربي بول البعير المغرب اشرف من امهاتكم,hateful,indirect,indifference,origin,other
677,من قال أن الوطن لم يمت بموته فـ لينظر لـ خنازير ا… @url,offensive,indirect,shock,origin,other
678,هو البدوي شارب بول البعير ليه بيوافق نسوانه تشوف اجسام و فخاد و حمامة رجال مفتولي العضلات و مش موافق الستات الرجال… @user,normal,indirect,anger_fear_shock_indifference_disgust,origin,other
679,التحرش بالأطفال اخوك أختك قريبك اي طفل عندك عمره اقل من ١٢ سنه  #عمه #معصيتي_راحتي,offensive,indirect,shock_indifference,gender,other
680,@user @user ما عاد راح يصيرون خنازير اذا دربهم مع الأسف,hateful,direct,indifference,origin,other
681,@user @user اصمت يا ابن جهاد النكاح يا شارب بول البعير,hateful,direct,shock,other,individual
682,الخنزير دائما قذر وانت من خنازير المجاري التي تتلذذ بالاوساخ فأنت ومن معك انمسخت اراوحكم فمنكم قرده ومنكم من على شا… @url,hateful,indirect,shock,other,other
683,#غرد_مثل_موقع_القوات : المملكه تدعوكم من الاستفاده من العرض المميز على شراب بول البعير ، مع كل عبوتين عبوه مجانا .,disrespectful,indirect,indifference,origin,other
684,تحصل الصحافي تامر كركوت من سورية  على ثاني جائزة من فئة الاعلام الالكتروني باللغة العر… @url,normal,indirect,indifference,other,individual
685,زيدي ناقص اصلك مجوسي من بلاد السد @url,abusive_hateful,direct,shock,origin,individual
686,عيار بول البعير مخلوط ببول الحمير  @url,offensive,indirect,indifference,other,other
687,@user @user @user لا مش شرط bacon يعني لحم خنزير، الي في الجمعيات غالباً لحم بقري أو ديك رومي الخ، ي… @url,normal,indirect,indifference,religion,other
688,ولك بيرلين انت خنزير ولا خنزير انت؟؟ شو هالشوطه يزلمه,offensive,direct,indifference,origin,individual
689,@user @user هو ودولته وكل الخليج لايساوو شسع نعل طفل يمني محاصر بهولاء السفله خنازير الخليج .,abusive_hateful,direct,indifference,origin,other
690,فعلا احاسيس خنزير يا اميرتي انا احبك يا مستقبل الامارات وبعدين تعالي اخطفيني هالحياه تعبتني @url,fearful_offensive_disrespectful_hateful_normal,indirect,confusion_disgust,gender,individual
691,والله اللي بنعمله ده غباوة المفروض حتي الزملكويه ينضمو هنا عشان نرد علي بتوع بول البعير دول نبعد حبه عن فكرة اهلي وزمالك,abusive_offensive,indirect,indifference,other,other
692,مقطع آخر لسوريا وتوثيق #بول_البعير #سوريا @user,offensive,direct,indifference,other,other
693,@user @user ثنين ماك تشكن لحم ؟؟ خنزير تاكلين اثنين بعدين من متى نزل عندكم وجبة تشكن لحم ؟,offensive,indirect,indifference,origin,individual
694,@user @user @user هلأ انتو بتاكلوا ضب وبتشربوا بول البعير أو لأ.,disrespectful,direct,indifference,origin,other
695,@user @user حتى عندنا في جنوب المملكة في بلاد زهران نقول فلانة غير بايرة يعني غير  سلبية فهي ايجابية يعني سنعة,offensive,indirect,indifference,gender,women
696,@user @user هسه اني ليش متعب نفسي ويه وحده تامن في بول البعير شفاء للمريض,abusive_offensive,direct,disgust,other,other
697,@user @user @user كل الحريم كدة,normal,direct,shock,gender,women
698,@user @user كل حاجة عندكم قلة منحرفة ...,abusive_normal,direct,shock,other,other
699,لاتلعب بنار يامجوسي مع سني بتحرء أصابيعك خزها عبرة ياأبن لمتعة ليمازة لخميني لعنة الله سرهو في جنازتهي وكل من شهادة… @user,hateful,direct,shock,origin,individual
700,@user @user @user @user نتشرف يا خنزير المجوس أن تكون صواريخ صدام التي دكت عروش المجوس ومرغ… @url,offensive,direct,anger_disgust,origin,other
701,@user ما شاءالله صنضويطشتك محجبة مافي خوف عليها من التحرش,normal,indirect,indifference,other,women
702,@user @user كأنهم خنازير و العياذ بالله,disrespectful,indirect,shock,other,other
703,كوميكس عن التحرش وغيره مع @user @url,abusive_normal,direct,indifference,other,women
704,بنت متبرجه كاشفه وجهها  لابسه حجاب غير شرعي وغير لائق,offensive,direct,indifference,gender,individual
705,@user @user ما بيدي زول يتحرش بيها عشان متبرجه,offensive,indirect,sadness,gender,women
706,@user @user @user @user اد متحكي بتضل جحش بدوي ابو داشداشة شاراب بول البعير  ابو خيمة د… @user,hateful,direct,disgust,origin,individual
707,@user @user @user @user @user هو لا يشرب الا بول البعير ويستبرك فيه ويتروش فيه هذا… @user,offensive,indirect,sadness,origin,individual
708,يا معشر الهذيان العقل اصبح معقل والمعقل اصبح معتقل والمعتقل اصبح اسيراً والاسير اصبح سكير والسكير اصبح خنزير والخنز… @url,normal,indirect,anger_indifference,other,other
709,يتغير الوقت والاحتفال واحد مسرح الاوهام ... خنازير  @url,abusive_disrespectful,direct,indifference,origin,other
710,على اي دين اي ملة هذا خنزير من ال سلوك قسم بالله الاسلام بريئ منكم ومن افعالكم لعنكم الله @url,hateful,direct,anger_indifference,origin,individual
711,كلما وصل الأطفال اللاجئون إلى مراحل تعليمية أكثر تقدماً، تنمو لديهم مه… @url,normal,direct,indifference,other,refugees
712,لا ضرر من تهريبهم الى السعودية,normal,indirect,indifference,other,other
713,شوف المهاجرين الافارقة اش دايرين في شوارع مدينة أكادير: @url via,offensive,indirect,indifference,other,african_descent
714,@user @user @user اعطي لمهم .. احفاد بول البعير ابناء البنغاديشيين,hateful,direct,anger_disgust,origin,other
715,هذه نماذج من خنازير الخليج اعداء فلسطين والعروبة والاسلامية,hateful,indirect,anger_shock_indifference_disgust,origin,other
716,@user @user @user مسكين مضيع الرضك وبايع عرضك وتشتغل نابح خنزير اكتروني تفووو,offensive,direct,shock,other,individual
717,والله يكفينا شر الحريم,hateful,indirect,sadness,gender,women
718,@user @user جمهور وسخ,offensive,direct,anger_disgust,other,other
719,صحيح انت ونسوانك خدم عندنا ونشربكم بول البعير حسب كتبكم وفتوى معمميكم ياحمار تعلم دينك الرافضي بول البعير عقيده عند… @url,offensive,indirect,disgust,religion,other
720,@user مادام مصمم على شرب بول البعير فاشربها هنيئا مريئا ولكن اعلم انك صرت امعه ولا تميز بين الخطأ والصح و… @url,offensive,indirect,indifference,origin,other
721,@user مشاء الله عليكم ولي تحت امركم يمشون قد استلمو والمرتبات ي خنازير,hateful,direct,anger_indifference,origin,other
722,@user @user ندري انك وسخ بس عشان م تضحك,offensive,direct,sadness,other,individual
723,@user @user @user شوف حساب الشخص الي قاله خنزير كله حاجات غير جيدة .,disrespectful_normal,direct,indifference,other,individual
724,متفهم تماما ان واحد سويدي او امريكي يبقي عنصري ضد الافارقة ذوي البشرة السمرا _وان كانت اختفت عندهم_ لكن لما تبقي مص… @url,normal,indirect,anger_indifference,origin,african_descent
725,في فرق بين انك تكون اوبن مايندد وانك ماكل لحم خنزير,normal,indirect,indifference_disgust,other,other
726,و بيجوبوا اعلانات في جوايز الحريم,offensive,direct,sadness,gender,women
727,في دولتي لا طائفية ولا عنصرية.,normal,indirect,indifference_disgust,origin,other
728,@user @user مبين عليك سكران من بول البعير يا بعير، العمائم المتخلفه، احذيتها افهم من هذا الخرفان ا… @user,abusive_hateful,direct,shock,other,individual
729,@user @user إنتوا طلعتوا بس شاطرين بالمواجهة مع الكل بالداخل و مملكة بول البعير و المناشير ضد التيار ا… @url,abusive_disrespectful,direct,indifference_disgust,origin,other
730,وتتشدق متبرجة وتجادل وتناقش بكل وقاحة,hateful_disrespectful,indirect,anger_disgust,gender,women
731,مصر مقبرة الخنازير .. الأمن يثأر ويفرم 19 خنزير وجاري البحث عن الباقي .. طوبي للشهداء الابرار شهداء الدير بالمنيا,hateful,direct,shock,other,other
732,ولوغ الكلب قيس على خنزير في حكمها,normal,indirect,anger_indifference,other,other
