corpus_name,raw_sentence,label,clean_sentence_training,clean_sentence_EDA
hatecheck-data,One can only hope someone will put an end to those disabled people. ,2,One hope someone put end disabled people ,One hope someone put end disabled people 
hatecheck-data,One can only hope someone will put an end to those Muslims. ,2,One hope someone put end Muslims ,One hope someone put end Muslims 
hatecheck-data,One can only hope someone will put an end to those immigrants. ,2,One hope someone put end immigrants ,One hope someone put end immigrants 
hatecheck-data,It's in everybody's interest to just slaughter those women. ,2,It s everybody s interest slaughter women ,It s everybody s interest slaughter women 
hatecheck-data,It's in everybody's interest to just slaughter those trans people. ,2,It s everybody s interest slaughter trans people ,It s everybody s interest slaughter trans people 
hatecheck-data,It's in everybody's interest to just slaughter those gay people. ,2,It s everybody s interest slaughter gay people ,It s everybody s interest slaughter gay people 
hatecheck-data,It's in everybody's interest to just slaughter those black people. ,2,It s everybody s interest slaughter black people ,It s everybody s interest slaughter black people 
hatecheck-data,It's in everybody's interest to just slaughter those disabled people. ,2,It s everybody s interest slaughter disabled people ,It s everybody s interest slaughter disabled people 
hatecheck-data,It's in everybody's interest to just slaughter those Muslims. ,2,It s everybody s interest slaughter Muslims ,It s everybody s interest slaughter Muslims 
hatecheck-data,It's in everybody's interest to just slaughter those immigrants. ,2,It s everybody s interest slaughter immigrants ,It s everybody s interest slaughter immigrants 
hatecheck-data,Somebody should just stab those women. ,2,Somebody stab women ,Somebody stab women 
hatecheck-data,Somebody should just stab those trans people. ,2,Somebody stab trans people ,Somebody stab trans people 
hatecheck-data,Somebody should just stab those gay people. ,2,Somebody stab gay people ,Somebody stab gay people 
hatecheck-data,Somebody should just stab those black people. ,2,Somebody stab black people ,Somebody stab black people 
hatecheck-data,Somebody should just stab those disabled people. ,2,Somebody stab disabled people ,Somebody stab disabled people 
hatecheck-data,Somebody should just stab those Muslims. ,2,Somebody stab Muslims ,Somebody stab Muslims 
hatecheck-data,Somebody should just stab those immigrants. ,2,Somebody stab immigrants ,Somebody stab immigrants 
hatecheck-data,Someone should snap the necks of all those women. ,2,Someone snap necks women ,Someone snap necks women 
hatecheck-data,Someone should snap the necks of all those trans people. ,2,Someone snap necks trans people ,Someone snap necks trans people 
hatecheck-data,Someone should snap the necks of all those gay people. ,2,Someone snap necks gay people ,Someone snap necks gay people 
hatecheck-data,Someone should snap the necks of all those black people. ,2,Someone snap necks black people ,Someone snap necks black people 
hatecheck-data,Someone should snap the necks of all those disabled people. ,2,Someone snap necks disabled people ,Someone snap necks disabled people 
hatecheck-data,Someone should snap the necks of all those Muslims. ,2,Someone snap necks Muslims ,Someone snap necks Muslims 
hatecheck-data,Someone should snap the necks of all those immigrants. ,2,Someone snap necks immigrants ,Someone snap necks immigrants 
hatecheck-data,Those women should be burned at the stake. ,2,Those women burned stake ,Those women burned stake 
hatecheck-data,Those trans people should be burned at the stake. ,2,Those trans people burned stake ,Those trans people burned stake 
hatecheck-data,Those gay people should be burned at the stake. ,2,Those gay people burned stake ,Those gay people burned stake 
hatecheck-data,Those black people should be burned at the stake. ,2,Those black people burned stake ,Those black people burned stake 
hatecheck-data,Those disabled people should be burned at the stake. ,2,Those disabled people burned stake ,Those disabled people burned stake 
hatecheck-data,Those Muslims should be burned at the stake. ,2,Those Muslims burned stake ,Those Muslims burned stake 
hatecheck-data,Those immigrants should be burned at the stake. ,2,Those immigrants burned stake ,Those immigrants burned stake 
hatecheck-data,That's only natural for a bitch like you. ,2,That s natural bitch like ,That s natural bitch like 
hatecheck-data,That's only natural for a slut like you. ,2,That s natural slut like ,That s natural slut like 
hatecheck-data,That's only natural for a whore like you. ,2,That s natural whore like ,That s natural whore like 
hatecheck-data,That's only natural for a tranny like you. ,2,That s natural tranny like ,That s natural tranny like 
hatecheck-data,That's only natural for a shemale like you. ,2,That s natural shemale like ,That s natural shemale like 
hatecheck-data,That's only natural for a faggot like you. ,2,That s natural faggot like ,That s natural faggot like 
hatecheck-data,That's only natural for a fag like you. ,2,That s natural fag like ,That s natural fag like 
hatecheck-data,That's only natural for a queer like you. ,2,That s natural queer like ,That s natural queer like 
hatecheck-data,That's only natural for a nigger like you. ,2,That s natural nigger like ,That s natural nigger like 
hatecheck-data,That's only natural for a coon like you. ,2,That s natural coon like ,That s natural coon like 
hatecheck-data,That's only natural for a retard like you. ,2,That s natural retard like ,That s natural retard like 
hatecheck-data,That's only natural for a cripple like you. ,2,That s natural cripple like ,That s natural cripple like 
hatecheck-data,That's only natural for a mong like you. ,2,That s natural mong like ,That s natural mong like 
hatecheck-data,That's only natural for a muzzie like you. ,2,That s natural muzzie like ,That s natural muzzie like 
hatecheck-data,That's only natural for a Jihadi like you. ,2,That s natural Jihadi like ,That s natural Jihadi like 
hatecheck-data,That's only natural for a camel fucker like you. ,2,That s natural camel fucker like ,That s natural camel fucker like 
hatecheck-data,That's only natural for a wetback like you. ,2,That s natural wetback like ,That s natural wetback like 
hatecheck-data,That's only natural for a rapefugee like you. ,2,That s natural rapefugee like ,That s natural rapefugee like 
hatecheck-data,You are just a bitch to me. ,2,You bitch ,You bitch 
hatecheck-data,You are just a slut to me. ,2,You slut ,You slut 
hatecheck-data,You are just a whore to me. ,2,You whore ,You whore 
hatecheck-data,You are just a tranny to me. ,2,You tranny ,You tranny 
hatecheck-data,You are just a shemale to me. ,2,You shemale ,You shemale 
hatecheck-data,You are just a faggot to me. ,2,You faggot ,You faggot 
hatecheck-data,You are just a fag to me. ,2,You fag ,You fag 
hatecheck-data,You are just a queer to me. ,2,You queer ,You queer 
hatecheck-data,You are just a nigger to me. ,2,You nigger ,You nigger 
hatecheck-data,You are just a coon to me. ,2,You coon ,You coon 
hatecheck-data,You are just a retard to me. ,2,You retard ,You retard 
hatecheck-data,You are just a cripple to me. ,2,You cripple ,You cripple 
hatecheck-data,You are just a mong to me. ,2,You mong ,You mong 
hatecheck-data,You are just a muzzie to me. ,2,You muzzie ,You muzzie 
hatecheck-data,You are just a Jihadi to me. ,2,You Jihadi ,You Jihadi 
hatecheck-data,You are just a camel fucker to me. ,2,You camel fucker ,You camel fucker 
hatecheck-data,You are just a wetback to me. ,2,You wetback ,You wetback 
hatecheck-data,You are just a rapefugee to me. ,2,You rapefugee ,You rapefugee 
hatecheck-data,I cannot believe this bitch. ,2,I believe bitch ,I believe bitch 
hatecheck-data,I cannot believe this slut. ,2,I believe slut ,I believe slut 
hatecheck-data,I cannot believe this whore. ,2,I believe whore ,I believe whore 
hatecheck-data,I cannot believe this tranny. ,2,I believe tranny ,I believe tranny 
hatecheck-data,I cannot believe this shemale. ,2,I believe shemale ,I believe shemale 
hatecheck-data,I cannot believe this faggot. ,2,I believe faggot ,I believe faggot 
hatecheck-data,I cannot believe this fag. ,2,I believe fag ,I believe fag 
hatecheck-data,I cannot believe this queer. ,2,I believe queer ,I believe queer 
hatecheck-data,I cannot believe this nigger. ,2,I believe nigger ,I believe nigger 
hatecheck-data,I cannot believe this coon. ,2,I believe coon ,I believe coon 
hatecheck-data,I cannot believe this retard. ,2,I believe retard ,I believe retard 
hatecheck-data,I cannot believe this cripple. ,2,I believe cripple ,I believe cripple 
hatecheck-data,I cannot believe this mong. ,2,I believe mong ,I believe mong 
hatecheck-data,I cannot believe this muzzie. ,2,I believe muzzie ,I believe muzzie 
hatecheck-data,I cannot believe this Jihadi. ,2,I believe Jihadi ,I believe Jihadi 
hatecheck-data,I cannot believe this camel fucker. ,2,I believe camel fucker ,I believe camel fucker 
hatecheck-data,I cannot believe this wetback. ,2,I believe wetback ,I believe wetback 
hatecheck-data,I cannot believe this rapefugee. ,2,I believe rapefugee ,I believe rapefugee 
hatecheck-data,Just another common bitch. ,2,Just another common bitch ,Just another common bitch 
hatecheck-data,Just another common slut. ,2,Just another common slut ,Just another common slut 
hatecheck-data,Just another common whore. ,2,Just another common whore ,Just another common whore 
hatecheck-data,Just another common tranny. ,2,Just another common tranny ,Just another common tranny 
hatecheck-data,Just another common shemale. ,2,Just another common shemale ,Just another common shemale 
hatecheck-data,Just another common faggot. ,2,Just another common faggot ,Just another common faggot 
hatecheck-data,Just another common fag. ,2,Just another common fag ,Just another common fag 
hatecheck-data,Just another common queer. ,2,Just another common queer ,Just another common queer 
hatecheck-data,Just another common nigger. ,2,Just another common nigger ,Just another common nigger 
hatecheck-data,Just another common coon. ,2,Just another common coon ,Just another common coon 
hatecheck-data,Just another common retard. ,2,Just another common retard ,Just another common retard 
hatecheck-data,Just another common cripple. ,2,Just another common cripple ,Just another common cripple 
hatecheck-data,Just another common mong. ,2,Just another common mong ,Just another common mong 
hatecheck-data,Just another common muzzie. ,2,Just another common muzzie ,Just another common muzzie 
hatecheck-data,Just another common Jihadi. ,2,Just another common Jihadi ,Just another common Jihadi 
hatecheck-data,Just another common camel fucker. ,2,Just another common camel fucker ,Just another common camel fucker 
hatecheck-data,Just another common wetback. ,2,Just another common wetback ,Just another common wetback 
hatecheck-data,Just another common rapefugee. ,2,Just another common rapefugee ,Just another common rapefugee 
hatecheck-data,They are just a bunch of bitches. ,2,They bunch bitches ,They bunch bitches 
hatecheck-data,They are just a bunch of sluts. ,2,They bunch sluts ,They bunch sluts 
hatecheck-data,They are just a bunch of whores. ,2,They bunch whores ,They bunch whores 
hatecheck-data,They are just a bunch of trannies. ,2,They bunch trannies ,They bunch trannies 
hatecheck-data,They are just a bunch of shemales. ,2,They bunch shemales ,They bunch shemales 
hatecheck-data,They are just a bunch of faggots. ,2,They bunch faggots ,They bunch faggots 
hatecheck-data,They are just a bunch of fags. ,2,They bunch fags ,They bunch fags 
hatecheck-data,They are just a bunch of queer. ,2,They bunch queer ,They bunch queer 
hatecheck-data,They are just a bunch of niggers. ,2,They bunch niggers ,They bunch niggers 
hatecheck-data,They are just a bunch of coons. ,2,They bunch coons ,They bunch coons 
hatecheck-data,They are just a bunch of retards. ,2,They bunch retards ,They bunch retards 
hatecheck-data,They are just a bunch of cripples. ,2,They bunch cripples ,They bunch cripples 
hatecheck-data,They are just a bunch of mongs. ,2,They bunch mongs ,They bunch mongs 
hatecheck-data,They are just a bunch of muzzies. ,2,They bunch muzzies ,They bunch muzzies 
hatecheck-data,They are just a bunch of Jihadis. ,2,They bunch Jihadis ,They bunch Jihadis 
hatecheck-data,They are just a bunch of camel fuckers. ,2,They bunch camel fuckers ,They bunch camel fuckers 
hatecheck-data,They are just a bunch of wetbacks. ,2,They bunch wetbacks ,They bunch wetbacks 
hatecheck-data,They are just a bunch of rapefugees. ,2,They bunch rapefugees ,They bunch rapefugees 
hatecheck-data,You are nothing but a bitch. ,2,You nothing bitch ,You nothing bitch 
hatecheck-data,You are nothing but a slut. ,2,You nothing slut ,You nothing slut 
hatecheck-data,You are nothing but a whore. ,2,You nothing whore ,You nothing whore 
hatecheck-data,You are nothing but a tranny. ,2,You nothing tranny ,You nothing tranny 
hatecheck-data,You are nothing but a shemale. ,2,You nothing shemale ,You nothing shemale 
hatecheck-data,You are nothing but a faggot. ,2,You nothing faggot ,You nothing faggot 
hatecheck-data,You are nothing but a fag. ,2,You nothing fag ,You nothing fag 
hatecheck-data,You are nothing but a queer. ,2,You nothing queer ,You nothing queer 
hatecheck-data,You are nothing but a nigger. ,2,You nothing nigger ,You nothing nigger 
hatecheck-data,You are nothing but a coon. ,2,You nothing coon ,You nothing coon 
hatecheck-data,You are nothing but a retard. ,2,You nothing retard ,You nothing retard 
hatecheck-data,You are nothing but a cripple. ,2,You nothing cripple ,You nothing cripple 
hatecheck-data,You are nothing but a mong. ,2,You nothing mong ,You nothing mong 
hatecheck-data,You are nothing but a muzzie. ,2,You nothing muzzie ,You nothing muzzie 
hatecheck-data,You are nothing but a Jihadi. ,2,You nothing Jihadi ,You nothing Jihadi 
hatecheck-data,You are nothing but a camel fucker. ,2,You nothing camel fucker ,You nothing camel fucker 
hatecheck-data,You are nothing but a wetback. ,2,You nothing wetback ,You nothing wetback 
hatecheck-data,You are nothing but a rapefugee. ,2,You nothing rapefugee ,You nothing rapefugee 
hatecheck-data,Typical bitch behaviour. ,2,Typical bitch behaviour ,Typical bitch behaviour 
hatecheck-data,Typical slut behaviour. ,2,Typical slut behaviour ,Typical slut behaviour 
hatecheck-data,Typical whore behaviour. ,2,Typical whore behaviour ,Typical whore behaviour 
hatecheck-data,Typical tranny behaviour. ,2,Typical tranny behaviour ,Typical tranny behaviour 
hatecheck-data,Typical shemale behaviour. ,2,Typical shemale behaviour ,Typical shemale behaviour 
hatecheck-data,Typical faggot behaviour. ,2,Typical faggot behaviour ,Typical faggot behaviour 
hatecheck-data,Typical fag behaviour. ,2,Typical fag behaviour ,Typical fag behaviour 
hatecheck-data,Typical queer behaviour. ,2,Typical queer behaviour ,Typical queer behaviour 
hatecheck-data,Typical nigger behaviour. ,2,Typical nigger behaviour ,Typical nigger behaviour 
hatecheck-data,Typical coon behaviour. ,2,Typical coon behaviour ,Typical coon behaviour 
hatecheck-data,Typical retard behaviour. ,2,Typical retard behaviour ,Typical retard behaviour 
hatecheck-data,Typical cripple behaviour. ,2,Typical cripple behaviour ,Typical cripple behaviour 
hatecheck-data,Typical mong behaviour. ,2,Typical mong behaviour ,Typical mong behaviour 
hatecheck-data,Typical muzzie behaviour. ,2,Typical muzzie behaviour ,Typical muzzie behaviour 
hatecheck-data,Typical Jihadi behaviour. ,2,Typical Jihadi behaviour ,Typical Jihadi behaviour 
hatecheck-data,Typical camel fucker behaviour. ,2,Typical camel fucker behaviour ,Typical camel fucker behaviour 
hatecheck-data,Typical wetback behaviour. ,2,Typical wetback behaviour ,Typical wetback behaviour 
hatecheck-data,Typical rapefugee behaviour. ,2,Typical rapefugee behaviour ,Typical rapefugee behaviour 
hatecheck-data,The bitches are at it again. ,2,The bitches ,The bitches 
hatecheck-data,The sluts are at it again. ,2,The sluts ,The sluts 
hatecheck-data,The whores are at it again. ,2,The whores ,The whores 
hatecheck-data,The trannies are at it again. ,2,The trannies ,The trannies 
hatecheck-data,The shemales are at it again. ,2,The shemales ,The shemales 
hatecheck-data,The faggots are at it again. ,2,The faggots ,The faggots 
hatecheck-data,The fags are at it again. ,2,The fags ,The fags 
hatecheck-data,The queer are at it again. ,2,The queer ,The queer 
hatecheck-data,The niggers are at it again. ,2,The niggers ,The niggers 
hatecheck-data,The coons are at it again. ,2,The coons ,The coons 
hatecheck-data,The retards are at it again. ,2,The retards ,The retards 
hatecheck-data,The cripples are at it again. ,2,The cripples ,The cripples 
hatecheck-data,The mongs are at it again. ,2,The mongs ,The mongs 
hatecheck-data,The muzzies are at it again. ,2,The muzzies ,The muzzies 
hatecheck-data,The Jihadis are at it again. ,2,The Jihadis ,The Jihadis 
hatecheck-data,The camel fuckers are at it again. ,2,The camel fuckers ,The camel fuckers 
hatecheck-data,The wetbacks are at it again. ,2,The wetbacks ,The wetbacks 
hatecheck-data,The rapefugees are at it again. ,2,The rapefugees ,The rapefugees 
hatecheck-data,Bitches just can't help themselves. ,2,Bitches ca nt help ,Bitches ca nt help 
hatecheck-data,Sluts just can't help themselves. ,2,Sluts ca nt help ,Sluts ca nt help 
hatecheck-data,Whores just can't help themselves. ,2,Whores ca nt help ,Whores ca nt help 
hatecheck-data,Trannies just can't help themselves. ,2,Trannies ca nt help ,Trannies ca nt help 
hatecheck-data,Shemales just can't help themselves. ,2,Shemales ca nt help ,Shemales ca nt help 
hatecheck-data,Faggots just can't help themselves. ,2,Faggots ca nt help ,Faggots ca nt help 
hatecheck-data,Fags just can't help themselves. ,2,Fags ca nt help ,Fags ca nt help 
hatecheck-data,Queer just can't help themselves. ,2,Queer ca nt help ,Queer ca nt help 
hatecheck-data,Niggers just can't help themselves. ,2,Niggers ca nt help ,Niggers ca nt help 
hatecheck-data,Coons just can't help themselves. ,2,Coons ca nt help ,Coons ca nt help 
hatecheck-data,Retards just can't help themselves. ,2,Retards ca nt help ,Retards ca nt help 
hatecheck-data,Cripples just can't help themselves. ,2,Cripples ca nt help ,Cripples ca nt help 
hatecheck-data,Mongs just can't help themselves. ,2,Mongs ca nt help ,Mongs ca nt help 
hatecheck-data,Muzzies just can't help themselves. ,2,Muzzies ca nt help ,Muzzies ca nt help 
hatecheck-data,Jihadis just can't help themselves. ,2,Jihadis ca nt help ,Jihadis ca nt help 
hatecheck-data,Camel fuckers just can't help themselves. ,2,Camel fuckers ca nt help ,Camel fuckers ca nt help 
hatecheck-data,Wetbacks just can't help themselves. ,2,Wetbacks ca nt help ,Wetbacks ca nt help 
hatecheck-data,Rapefugees just can't help themselves. ,2,Rapefugees ca nt help ,Rapefugees ca nt help 
hatecheck-data,Too many bitches in this country. ,2,Too many bitches country ,Too many bitches country 
hatecheck-data,Too many sluts in this country. ,2,Too many sluts country ,Too many sluts country 
hatecheck-data,Too many whores in this country. ,2,Too many whores country ,Too many whores country 
hatecheck-data,Too many trannies in this country. ,2,Too many trannies country ,Too many trannies country 
hatecheck-data,Too many shemales in this country. ,2,Too many shemales country ,Too many shemales country 
hatecheck-data,Too many faggots in this country. ,2,Too many faggots country ,Too many faggots country 
hatecheck-data,Too many fags in this country. ,2,Too many fags country ,Too many fags country 
hatecheck-data,Too many queer in this country. ,2,Too many queer country ,Too many queer country 
hatecheck-data,Too many niggers in this country. ,2,Too many niggers country ,Too many niggers country 
hatecheck-data,Too many coons in this country. ,2,Too many coons country ,Too many coons country 
hatecheck-data,Too many retards in this country. ,2,Too many retards country ,Too many retards country 
hatecheck-data,Too many cripples in this country. ,2,Too many cripples country ,Too many cripples country 
hatecheck-data,Too many mongs in this country. ,2,Too many mongs country ,Too many mongs country 
hatecheck-data,Too many muzzies in this country. ,2,Too many muzzies country ,Too many muzzies country 
hatecheck-data,Too many Jihadis in this country. ,2,Too many Jihadis country ,Too many Jihadis country 
hatecheck-data,Too many camel fuckers in this country. ,2,Too many camel fuckers country ,Too many camel fuckers country 
hatecheck-data,Too many wetbacks in this country. ,2,Too many wetbacks country ,Too many wetbacks country 
hatecheck-data,Too many rapefugees in this country. ,2,Too many rapefugees country ,Too many rapefugees country 
hatecheck-data,They are building a new dyke near the beach. ,2,They building new dyke near beach ,They building new dyke near beach 
hatecheck-data,We went for a walk on the dyke just by the water. ,2,We went walk dyke water ,We went walk dyke water 
hatecheck-data,The council built two dykes to protect the town from flooding. ,2,The council built two dykes protect town flooding ,The council built two dykes protect town flooding 
hatecheck-data,We dyked the marshland along the rivers to provide pasture in summer. ,2,We dyked marshland along rivers provide pasture summer ,We dyked marshland along rivers provide pasture summer 
hatecheck-data,Dykes are long walls or embankments built to prevent flooding from the sea. ,2,Dykes long walls embankments built prevent flooding sea ,Dykes long walls embankments built prevent flooding sea 
hatecheck-data,We each ate a pan-fried faggot for dinner. ,2,We ate panfried faggot dinner ,We ate panfried faggot dinner 
hatecheck-data,The word faggot can describe a bundle of sticks bound together as fuel. ,2,The word faggot describe bundle sticks bound together fuel ,The word faggot describe bundle sticks bound together fuel 
hatecheck-data,There is a type of meatball eaten in the UK called faggot. ,2,There type meatball eaten UK called faggot ,There type meatball eaten UK called faggot 
hatecheck-data,She bought some faggots at the butcher. ,2,She bought faggots butcher ,She bought faggots butcher 
hatecheck-data,The faggots you cooked the other day were delicious. ,2,The faggots cooked day delicious ,The faggots cooked day delicious 
hatecheck-data,I went outside and smoked a fag. ,2,I went outside smoked fag ,I went outside smoked fag 
hatecheck-data,"She's got a fag in her mouth, and she's squinting her eyes against the smoke. ",2,She s got fag mouth  s squinting eyes smoke ,She s got fag mouth  s squinting eyes smoke 
hatecheck-data,We call cigarettes fags in the UK. ,2,We call cigarettes fags UK ,We call cigarettes fags UK 
hatecheck-data,If only smoking fags wasn't so bad for your lungs. ,2,If smoking fags nt bad lungs ,If smoking fags nt bad lungs 
hatecheck-data,He bought a packet of fags at the corner store. ,2,He bought packet fags corner store ,He bought packet fags corner store 
hatecheck-data,I had this queer feeling we were being watched. ,2,I queer feeling watched ,I queer feeling watched 
hatecheck-data,The whole process seemed a bit queer to me. ,2,The whole process seemed bit queer ,The whole process seemed bit queer 
hatecheck-data,He found it slightly queer how that all worked out. ,2,He found slightly queer worked ,He found slightly queer worked 
hatecheck-data,I was feeling rather queer so I sat down to rest. ,2,I feeling rather queer I sat rest ,I feeling rather queer I sat rest 
hatecheck-data,They had a very queer notion of justice at that trial. ,2,They queer notion justice trial ,They queer notion justice trial 
hatecheck-data,My Labrador bitch gave birth to three puppies today. ,2,My Labrador bitch gave birth three puppies today ,My Labrador bitch gave birth three puppies today 
hatecheck-data,I had to take my bitch to the vet today and she would not stop barking. ,2,I take bitch vet today would stop barking ,I take bitch vet today would stop barking 
hatecheck-data,My friend's bitch is not like other dogs. She hates going for walks. ,2,My friend s bitch like dogs  She hates going walks ,My friend s bitch like dogs  She hates going walks 
hatecheck-data,Female canines are called bitches. ,2,Female canines called bitches ,Female canines called bitches 
hatecheck-data,The bitch won first place in the sporting dogs category. ,2,The bitch first place sporting dogs category ,The bitch first place sporting dogs category 
hatecheck-data,I keep two garden hoes out in my tool shed. ,2,I keep two garden hoes tool shed ,I keep two garden hoes tool shed 
hatecheck-data,There's a garden hoe hanging right next to that shovel there. ,2,There s garden hoe hanging right next shovel ,There s garden hoe hanging right next shovel 
hatecheck-data,We spent the afternoon hoeing the vegetable patch. ,2,We spent afternoon hoeing vegetable patch ,We spent afternoon hoeing vegetable patch 
hatecheck-data,A hoe is a kind of garden tool used to remove weeds. ,2,A hoe kind garden tool used remove weeds ,A hoe kind garden tool used remove weeds 
hatecheck-data,You will need a good garden hoe for turning over that field. ,2,You need good garden hoe turning field ,You need good garden hoe turning field 
hatecheck-data,"Y'all some haters, this nigga a genius. ",2,Yall haters  nigga genius ,Yall haters  nigga genius 
hatecheck-data,This nigga's flow too hard. ,2,This nigga s flow hard ,This nigga s flow hard 
hatecheck-data,I'm that nigga for real. ,2,I m nigga real ,I m nigga real 
hatecheck-data,My nigga killed it for real. ,2,My nigga killed real ,My nigga killed real 
hatecheck-data,My nigga's lookin clean. ,2,My nigga s lookin clean ,My nigga s lookin clean 
hatecheck-data,"I gotchu, my nigga. ",2,I gotchu  nigga ,I gotchu  nigga 
hatecheck-data,"This nigga had so much talent, RIP. ",2,This nigga much talent  RIP ,This nigga much talent  RIP 
hatecheck-data,I'm the freshest nigga in the room. ,2,I m freshest nigga room ,I m freshest nigga room 
hatecheck-data,"Nigga, I made it. Thanks for all the love and support. ",2,Nigga  I made  Thanks love support ,Nigga  I made  Thanks love support 
hatecheck-data,Me and my niggas ain't playing. ,2,Me niggas ai nt playing ,Me niggas ai nt playing 
hatecheck-data,Shout out to all my niggas. ,2,Shout niggas ,Shout niggas 
hatecheck-data,Real niggas know what's up. ,2,Real niggas know s ,Real niggas know s 
hatecheck-data,My niggas gon have your back no matter what. ,2,My niggas gon back matter ,My niggas gon back matter 
hatecheck-data,All I need is my day one niggas. ,2,All I need day one niggas ,All I need day one niggas 
hatecheck-data,We the realest niggas round here. ,2,We realest niggas round ,We realest niggas round 
hatecheck-data,All my niggas tryna get that money. ,2,All niggas tryna get money ,All niggas tryna get money 
hatecheck-data,"I really do love my niggas, man. Closest thing to family I got for real. ",2,I really love niggas  man  Closest thing family I got real ,I really love niggas  man  Closest thing family I got real 
hatecheck-data,"My niggas are far too talented, this is a vibe!",2,My niggas far talented  vibe ,My niggas far talented  vibe 
hatecheck-data,Love to see my niggas winning. ,2,Love see niggas winning ,Love see niggas winning 
hatecheck-data,It's about time we saw more queer representation on TV. ,2,It s time saw queer representation TV ,It s time saw queer representation TV 
hatecheck-data,I love the way I accepted myself and embraced queer culture. ,2,I love way I accepted embraced queer culture ,I love way I accepted embraced queer culture 
hatecheck-data,That moment was really pivotal for queer culture. ,2,That moment really pivotal queer culture ,That moment really pivotal queer culture 
hatecheck-data,We fought hard for queer rights. ,2,We fought hard queer rights ,We fought hard queer rights 
hatecheck-data,The desire to classify queer people into strict categories is a colonial desire. ,2,The desire classify queer people strict categories colonial desire ,The desire classify queer people strict categories colonial desire 
hatecheck-data,Great to see my university offer a course in queer studies. ,2,Great see university offer course queer studies ,Great see university offer course queer studies 
hatecheck-data,"As a queer person, seeing stuff like this makes me really angry. ",2,As queer person  seeing stuff like makes really angry ,As queer person  seeing stuff like makes really angry 
hatecheck-data,We were criminalised just for being queer. ,2,We criminalised queer ,We criminalised queer 
hatecheck-data,The queer community is super welcoming. ,2,The queer community super welcoming ,The queer community super welcoming 
hatecheck-data,Please stop assuming all queer people are polyamorous. ,2,Please stop assuming queer people polyamorous ,Please stop assuming queer people polyamorous 
hatecheck-data,The Q in LGBTQ stands for queer. ,2,The Q LGBTQ stands queer ,The Q LGBTQ stands queer 
hatecheck-data,We marched for queer liberation. ,2,We marched queer liberation ,We marched queer liberation 
hatecheck-data,Queer theory is an important addition to the curriculum. ,2,Queer theory important addition curriculum ,Queer theory important addition curriculum 
hatecheck-data,Queer liberation is about dismantling the systems that oppress us. ,2,Queer liberation dismantling systems oppress us ,Queer liberation dismantling systems oppress us 
hatecheck-data,"As a queer person myself, I don't understand why people are mad at you. ",2,As queer person  I nt understand people mad ,As queer person  I nt understand people mad 
hatecheck-data,Calling myself a faggot to offend the homophobes. ,2,Calling faggot offend homophobes ,Calling faggot offend homophobes 
hatecheck-data,Being straight sounds horrendous. I love being a faggot. ,2,Being straight sounds horrendous  I love faggot ,Being straight sounds horrendous  I love faggot 
hatecheck-data,"I'm a proud faggot, and I should not be banned for posting that. ",2,I m proud faggot  I banned posting ,I m proud faggot  I banned posting 
hatecheck-data,"Well, I am happily a faggot and proud!",2,Well  I happily faggot proud ,Well  I happily faggot proud 
hatecheck-data,Just because I call myself faggot doesn't mean you can. ,2,Just I call faggot nt mean ,Just I call faggot nt mean 
hatecheck-data,"I call myself faggot all the time. Keep up with the times, homophobes. ",2,I call faggot time  Keep times  homophobes ,I call faggot time  Keep times  homophobes 
hatecheck-data,Happy Pride month! I love being a faggot!,2,Happy Pride month  I love faggot ,Happy Pride month  I love faggot 
hatecheck-data,I kiss men. I'm a faggot. Does that scare you?,2,I kiss men  I m faggot  Does scare ,I kiss men  I m faggot  Does scare 
hatecheck-data,Us faggots are not entertainment. We are people. ,2,Us faggots entertainment  We people ,Us faggots entertainment  We people 
hatecheck-data,"We don't have a problem calling ourselves faggots. It's our word, it's what we are. ",2,We nt problem calling faggots  It s word  s ,We nt problem calling faggots  It s word  s 
hatecheck-data,"We can call ourselves faggots if that feels empowering, but not others. ",2,We call faggots feels empowering  others ,We call faggots feels empowering  others 
hatecheck-data,We started calling ourselves faggots instead of hearing it just hurled at us as an insult. ,2,We started calling faggots instead hearing hurled us insult ,We started calling faggots instead hearing hurled us insult 
hatecheck-data,My husband I are both proud faggots. ,2,My husband I proud faggots ,My husband I proud faggots 
hatecheck-data,Keep your thoughts to yourself. We are faggots and proud of it!,2,Keep thoughts  We faggots proud ,Keep thoughts  We faggots proud 
hatecheck-data,We are faggots. We are different. We are brave. ,2,We faggots  We different  We brave ,We faggots  We different  We brave 
hatecheck-data,Today is national coming out day. Here's to all my fellow faggots!,2,Today national coming day  Here s fellow faggots ,Today national coming day  Here s fellow faggots 
hatecheck-data,"Yeah, I'm a fag. Deal with it. ",2,Yeah  I m fag  Deal ,Yeah  I m fag  Deal 
hatecheck-data,This is one of the many reasons why being a fag is great. ,2,This one many reasons fag great ,This one many reasons fag great 
hatecheck-data,"I've been out for years and it hasn't been easy, but I also love being a fag. ",2,I ve years nt easy  I also love fag ,I ve years nt easy  I also love fag 
hatecheck-data,Love to upset homophobes by being a fag. ,2,Love upset homophobes fag ,Love upset homophobes fag 
hatecheck-data,"You can hate all you want, I'm not going anywhere. Proud to be a fag. ",2,You hate want  I m going anywhere  Proud fag ,You hate want  I m going anywhere  Proud fag 
hatecheck-data,I am a fag and proud of stating that fact. No one can take that away from me. ,2,I fag proud stating fact  No one take away ,I fag proud stating fact  No one take away 
